id;the_geom;id;sub_area;type;types;flats;height;levels
buildings_lambert93.63;MULTIPOLYGON (((912158.5559646338 6235153.346173311, 912158.75002991 6235145.009917639, 912155.6528927784 6235145.130047344, 912155.3124300027 6235143.116556769, 912151.2469105163 6235142.982218719, 912151.3796225304 6235141.429305802, 912147.6283291836 6235141.639059781, 912147.7936381915 6235153.880435034, 912155.3518199124 6235154.241416048, 912155.2998826149 6235153.349815266, 912158.5559646338 6235153.346173311)));685;Boundary0;yes;yes;1;0.0;0
buildings_lambert93.64;MULTIPOLYGON (((912169.0032915894 6235650.023693795, 912179.5303588299 6235641.8064940795, 912176.7282687747 6235637.931888955, 912175.5679776564 6235638.560953275, 912173.0139844269 6235637.030488498, 912165.0881285489 6235642.886488434, 912164.9480716377 6235644.661622948, 912169.0032915894 6235650.023693795)));686;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.65;MULTIPOLYGON (((912591.0270790807 6235470.5462123705, 912603.3845580795 6235463.613869978, 912601.0704709103 6235459.755229043, 912596.6618884958 6235462.612602969, 912597.5823730836 6235464.311617835, 912596.418328678 6235465.051720774, 912595.1836567511 6235463.00859538, 912590.2762034821 6235466.183160746, 912591.0270790807 6235470.5462123705)));687;Boundary1;yes;yes;1;0.0;0
buildings_lambert93.66;MULTIPOLYGON (((911639.8908091232 6233908.296698956, 911638.9823363847 6233911.158900981, 911649.3884007172 6233911.613096693, 911647.6007455382 6233916.448573599, 911653.0422578219 6233916.850390923, 911653.8862098032 6233908.535487686, 911639.8908091232 6233908.296698956)));689;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.67;MULTIPOLYGON (((912169.2517790706 6234612.871180978, 912179.1572396581 6234611.196246758, 912175.1810124503 6234598.495185182, 912166.2072828546 6234601.535745166, 912169.2517790706 6234612.871180978)));690;Boundary0;yes;yes;1;0.0;0
buildings_lambert93.68;MULTIPOLYGON (((912154.0067520463 6234179.8812233405, 912150.5287962151 6234181.657335876, 912155.8689495377 6234192.512453951, 912168.332201617 6234187.362419551, 912157.9032181692 6234165.437995709, 912152.9063785537 6234168.832470549, 912157.6473550476 6234178.110486293, 912154.0067520463 6234179.8812233405)));691;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.69;MULTIPOLYGON (((911976.4754061443 6234114.951867612, 911986.3510491886 6234124.06554149, 911991.684127946 6234120.348329273, 911981.9228220829 6234110.237294666, 911976.4754061443 6234114.951867612)));693;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.70;MULTIPOLYGON (((912280.2897629067 6234470.043189567, 912279.2840444851 6234468.452634373, 912270.7869771488 6234471.842525911, 912270.2618237293 6234470.490331171, 912267.1202807003 6234471.9437852455, 912269.934398224 6234477.932331122, 912281.75033326 6234472.649907911, 912280.2897629067 6234470.043189567)));694;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.71;MULTIPOLYGON (((911012.2444341001 6235125.358406392, 911020.7847334825 6235123.080689806, 911018.0199512616 6235113.089912846, 911020.651111699 6235112.286510459, 911018.4491642844 6235104.983869648, 911005.0567267961 6235108.770650564, 911012.2444341001 6235125.358406392)));695;Boundary3;yes;yes;1;0.0;0
buildings_lambert93.72;MULTIPOLYGON (((911156.5931410176 6234894.285730072, 911163.0571081414 6234893.274725212, 911163.6948354663 6234898.634987519, 911169.0871064187 6234898.033683882, 911169.1008080802 6234895.142019648, 911177.1060794577 6234894.292955763, 911176.0599672461 6234884.024911123, 911164.2219783182 6234885.081631221, 911164.0511240494 6234882.851308301, 911155.5543045562 6234883.795458797, 911156.5931410176 6234894.285730072)));696;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.73;MULTIPOLYGON (((910835.4516364306 6234321.994601298, 910836.854923486 6234318.926084255, 910830.359142906 6234315.931918867, 910827.3935818525 6234321.952500565, 910828.6655285888 6234322.884145465, 910825.3600964095 6234329.338510455, 910835.8525790882 6234334.577370341, 910839.6193495446 6234326.469626889, 910834.4101169638 6234323.9626422785, 910835.4516364306 6234321.994601298)));698;Boundary6;yes;yes;1;0.0;0
